playerName1,playerName2
Fir,Rarran
Skootie,BelenosBear
HCJustin,Malf
Nandre,Neato
DrSpectred,Haelian
Roffle,Feinberg
Sizaak,Zaino
Gothic,Edzy
Vagabond,Nemo
Bean,Seadubbs
