playerName1,playerName2
Nandre,Feinberg
Roffle,Gothic
DrSpectred,Fir
HCJustin,BelenosBear
Bean,Edzy
Skootie,Haelian
Malf,Zaino
Vagabond,Neato
Nemo,Seadubbs
Sizaak,Rarran
