playerName1,playerName2
Skootie,Malf
DrSpectred,Rarran
Bean,Vagabond
Roffle,Edzy
Haelian,BelenosBear
Nandre,Nemo
Feinberg,Neato
Fir,Zaino
Sizaak,HCJustin
Gothic,Seadubbs
