playerName,rating,cost,avgFantasyPoints
DrSpectred,7.14042598056676,7.0,10.05
Zaino,8.098512558126442,8.0,9.9
Bean,8.143648751823905,8.0,11.3
Vagabond,7.087421250747356,6.0,7.75
Feinberg,5.170520889275339,7.0,9.15
Edzy,5.982180946184893,7.0,6.55
BelenosBear,5.939974700369692,5.0,7.0
Gothic,3.1739925866257312,5.0,7.15
Fir,5.080289148347792,5.0,6.2
Rarran,5.082671793800418,6.0,8.0
Sizaak,5.95814392432033,6.0,6.3
Roffle,6.794052765524224,5.0,6.25
Nandre,2.9732637223292566,4.0,4.05
Haelian,5.057325293976398,5.0,6.2
Seadubbs,3.982892228407022,4.0,6.4
Nemo,1.9035841443790025,2.0,2.8
Malf,3.8301873998197316,3.0,2.5
Skootie,3.901411997724141,3.0,2.65
HCJustin,1.9110572029482933,2.0,1.8
Neato,2.788442714703272,2.0,1.7
