playerName1,playerName2
Gothic,Feinberg
Malf,DrSpectred
BelenosBear,Sizaak
Zaino,HCJustin
Haelian,Fir
Neato,Bean
Edzy,Nandre
Roffle,Nemo
Seadubbs,Vagabond
Rarran,Skootie

