playerName,rating,cost,avgFantasyPoints
DrSpectred,7.2666187718999975,8.0,9.85
Zaino,8.129866445879124,7.0,9.283333333333333
Bean,8.177456341867595,8.0,11.549999999999999
Vagabond,7.134961720477786,7.0,9.200000000000001
Feinberg,5.274921673866455,7.0,8.366666666666667
Edzy,5.795412118471431,6.0,6.666666666666667
BelenosBear,5.863574634373833,5.0,6.383333333333333
Gothic,3.261000650678654,5.0,6.566666666666666
Fir,5.07748925183452,4.0,6.183333333333334
Rarran,5.101834352621109,6.0,6.816666666666666
Sizaak,5.874056213097103,5.0,6.166666666666667
Roffle,6.730478046762663,6.0,6.766666666666667
Nandre,2.905614777960526,3.0,3.85
Haelian,4.907654314929715,5.0,5.75
Seadubbs,4.018254877725266,5.0,6.283333333333334
Nemo,1.8779148148238807,2.0,2.566666666666667
Malf,3.8695787479594816,3.0,3.75
Skootie,4.097728373427022,4.0,4.866666666666666
HCJustin,1.8115988939780925,2.0,2.216666666666667
Neato,2.8239849773657455,2.0,2.8333333333333335
