playerName1,playerName2
Nandre,Vagabond
HCJustin,Skootie
Malf,Fir
DrSpectred,Sizaak
Roffle,Bean
BelenosBear,Rarran
Neato,Edzy
Nemo,Gothic
Zaino,Haelian
Seadubbs,Feinberg

