playerName,rating,cost,avgFantasyPoints
Bean,8.0350648574392,8.0,11.3
Zaino,8.045077733961124,7.0,9.9
DrSpectred,7.067349250388312,8.0,10.05
Feinberg,5.092101071818695,7.0,9.15
Vagabond,7.046037347712491,6.0,7.75
Haelian,4.999294529430858,4.0,6.2
BelenosBear,5.970730319081859,6.0,7.0
Roffle,6.90547837006431,5.0,6.25
Sizaak,5.950155234809586,6.0,6.3
Fir,5.029269680918141,5.0,6.2
Rarran,5.090739083333502,7.0,8.0
Edzy,5.904526071829631,5.0,6.55
Seadubbs,4.043311283417311,4.0,6.4
Nandre,2.979607694252228,4.0,4.05
Skootie,3.936883054578432,3.0,2.65
Gothic,3.107926800539396,5.0,7.15
Nemo,2.0231169607426187,3.0,2.8
Malf,3.9449406176615467,3.0,2.5
HCJustin,1.9655604958366382,2.0,1.8
Neato,2.86282954218412,2.0,1.7
