playerName,rating,cost
Bean,8.0,8.0
Zaino,8.0,8.0
DrSpectred,7.0,7.0
Feinberg,5.0,7.0
Vagabond,7.0,7.0
Haelian,5.0,6.0
BelenosBear,6.0,6.0
Roffle,7.0,6.0
Sizaak,6.0,5.0
Fir,5.0,5.0
Rarran,5.0,5.0
Edzy,6.0,5.0
Seadubbs,4.0,4.0
Nandre,3.0,4.0
Skootie,4.0,4.0
Gothic,3.0,3.0
Nemo,2.0,3.0
Malf,4.0,3.0
HCJustin,2.0,2.0
Neato,3.0,2.0
