playerName1,playerName2
DrSpectred,Skootie
Zaino,BelenosBear
Seadubbs,Neato
Malf,Rarran
Sizaak,Fir
HCJustin,Haelian
Roffle,Nandre
Nemo,Edzy
Bean,Gothic
Vagabond,Feinberg
