playerName1,playerName2
Zaino,Skootie
Edzy,Feinberg
Malf,Sizaak
BelenosBear,Fir
Rarran,Haelian
Neato,Gothic
Roffle,Vagabond
Seadubbs,Nandre
DrSpectred,HCJustin
Nemo,Bean

